redshift,name
,4FGL_J0044.2-8424
,4FGL_J0044.8+6802
,4FGL_J0044.9+4553
,4FGL_J0045.1-3706
,4FGL_J0045.3+2128
,4FGL_J0045.7+1217
0.272,4FGL_J0045.8-1324
0.404,4FGL_J0045.9-2021
2.117,4FGL_J0046.7-7048
,4FGL_J0046.9+0705
1.077,4FGL_J0047.0+5657
0.72,4FGL_J0047.1-6203
,4FGL_J0047.3+6943
0.36,4FGL_J0047.5-2517
,4FGL_J0047.9+3947
,4FGL_J0047.9+5448
0.067,4FGL_J0047.9+2233
,4FGL_J0048.6-6347
0.228,4FGL_J0048.6-2427
,4FGL_J0049.0+2252
1.626359,4FGL_J0049.1+4223
,4FGL_J0049.4-5402
,4FGL_J0049.5-4150
1.02,4FGL_J0049.6-4500
0.1485,4FGL_J0049.7+0237
,4FGL_J0050.0-5736
,4FGL_J0050.4-0452
0.02,4FGL_J0050.7-0929
,4FGL_J0050.8-3428
2.14,4FGL_J0051.1-0648
0.571,4FGL_J0051.2-6242
,4FGL_J0051.5-4220
,4FGL_J0052.1+6444
0.859,4FGL_J0052.9-6644
0.835,4FGL_J0054.4+8627
,4FGL_J0054.4-1503
0.090112,4FGL_J0054.7-2455
,4FGL_J0054.8-1954
0.49,4FGL_J0055.1-1219
,4FGL_J0055.7+4507
0.73,4FGL_J0056.3-0935
,4FGL_J0056.4-2118
,4FGL_J0056.5-3936
0.3751,4FGL_J0056.6-4452
,4FGL_J0056.6-5317
,4FGL_J0056.8+1626
1.148,4FGL_J0057.0+4101
,4FGL_J0057.3+2216
,4FGL_J0057.5+6814
0.098,4FGL_J0057.7+3023
,4FGL_J0057.9+6326
0.94,4FGL_J0058.0-7245e
,4FGL_J0058.0-0539
,4FGL_J0058.0-3233
0.3,4FGL_J0058.1+6915
0.15,4FGL_J0058.3+1723
0.681,4FGL_J0058.3-4603
0.761,4FGL_J0058.4+3315
1.32,4FGL_J0058.6-1140
0.08,4FGL_J0059.2+0006
,4FGL_J0059.3-0152
0.681,4FGL_J0059.4-5654
0.082314,4FGL_J0059.5-3512
,4FGL_J0059.5-3338
,4FGL_J0059.7-7210
0.29,4FGL_J0100.3+0745
,4FGL_J0101.0-0059
,4FGL_J0101.1-6422
2.287,4FGL_J0101.7-5455
,4FGL_J0101.8-7543
1.61,4FGL_J0102.0-6240
,4FGL_J0102.0+1639
0.195,4FGL_J0102.1+5846
,4FGL_J0102.1+4458
0.053877,4FGL_J0102.3+1000
,4FGL_J0102.4+4214
0.298632,4FGL_J0102.4+0942
,4FGL_J0102.6-5639
0.629,4FGL_J0102.7-2001
1.3444,4FGL_J0102.8+5824
,4FGL_J0102.8+4839
,4FGL_J0102.9-7051
,4FGL_J0103.1+4954
0.761,4FGL_J0103.5+1526
0.617,4FGL_J0103.5+5337
,4FGL_J0103.8+1321
,4FGL_J0104.6-0818
0.833,4FGL_J0104.8-2215
1.74,4FGL_J0104.8-2416
1.466,4FGL_J0105.1+3929
0.165866,4FGL_J0106.1+1131
1.663,4FGL_J0106.4+4855
,4FGL_J0106.9-4832
0.254,4FGL_J0107.3-1210
,4FGL_J0107.4+0334
,4FGL_J0107.4+0459
,4FGL_J0107.6+4950
